City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Voyinka,UA,2022-02-06 07:21:52,45.8699,33.9914,35.17,84,99,14.79
68,Khatanga,RU,2022-02-06 07:19:03,71.9667,102.5,-20.43,98,99,7.63
69,Chinique,GT,2022-02-06 07:21:53,15.0447,-91.0258,55.06,97,100,3.6
70,Marsaxlokk,MT,2022-02-06 07:21:53,35.8419,14.5431,58.08,88,20,10.36
71,Saint-Georges,GD,2022-02-06 07:21:54,12.0564,-61.7485,75.76,85,41,10.96
72,Cherskiy,RU,2022-02-06 07:21:55,68.75,161.3,-29.65,100,18,2.44
73,Port Elizabeth,ZA,2022-02-06 07:18:51,-33.918,25.5701,79.11,83,20,16.11
74,Hobart,AU,2022-02-06 07:17:33,-42.8794,147.3294,70.27,54,20,9.22
75,Bengkulu,ID,2022-02-06 07:21:55,-3.8004,102.2655,81.84,69,100,10.87
76,Caramay,PH,2022-02-06 07:21:56,10.1815,119.236,82.35,70,100,14.74
77,Lazaro Cardenas,MX,2022-02-06 07:21:56,17.9583,-102.2,70.86,82,0,3.06
78,Flin Flon,CA,2022-02-06 07:21:57,54.7682,-101.865,-8.05,100,96,3.09
79,Tilichiki,RU,2022-02-06 07:21:57,60.4667,166.1,-9.22,83,0,8.19
80,Luderitz,NA,2022-02-06 07:21:58,-26.6481,15.1594,68.05,81,54,4.54
81,Sao Filipe,CV,2022-02-06 07:21:58,14.8961,-24.4956,71.46,72,0,10.45
82,Geraldton,AU,2022-02-06 07:21:59,-28.7667,114.6,79.21,53,40,17.27
83,Beringovskiy,RU,2022-02-06 07:21:59,63.05,179.3167,-13.47,97,52,11.41
84,Grand Gaube,MU,2022-02-06 07:22:00,-20.0064,57.6608,84.6,74,100,11.99
85,Nacala,MZ,2022-02-06 07:22:00,-14.5428,40.6728,85.32,56,20,11.81
86,Torbay,CA,2022-02-06 07:22:01,47.6666,-52.7314,27.75,94,100,27.63
87,Esperance,AU,2022-02-06 07:22:01,-33.8667,121.9,107.44,36,4,11.56
88,Tecate,MX,2022-02-06 07:20:48,32.5667,-116.6333,55.99,32,5,5.97
89,Strathmore,CA,2022-02-06 07:22:12,51.0501,-113.3852,30.34,80,71,10.36
90,Oriximina,BR,2022-02-06 07:21:49,-1.7656,-55.8661,72.95,96,100,3.13
91,Georgetown,MY,2022-02-06 07:20:05,5.4112,100.3354,89.55,66,20,6.91
92,Price,US,2022-02-06 07:23:02,39.5994,-110.8107,34.86,47,0,12.66
93,Butaritari,KI,2022-02-06 07:23:03,3.0707,172.7902,82.53,75,100,16.62
94,Tasiilaq,GL,2022-02-06 07:23:03,65.6145,-37.6368,10.56,64,100,6.91
95,Tres Arroyos,AR,2022-02-06 07:23:04,-38.3739,-60.2798,57.09,65,100,11.9
96,Zhezkazgan,KZ,2022-02-06 07:23:04,47.8043,67.7144,15.78,73,20,20.13
97,Napasar,IN,2022-02-06 07:23:04,27.9667,73.55,74.19,21,0,10.69
98,Kita,ML,2022-02-06 07:23:05,13.0349,-9.4895,65.41,15,0,4.68
99,Sept-Iles,CA,2022-02-06 07:23:01,50.2001,-66.3821,-0.94,56,0,5.99
100,Adwa,ET,2022-02-06 07:23:05,14.1646,38.8955,69.84,35,13,0.38
101,Zarubino,RU,2022-02-06 07:23:06,42.63,131.0922,21.33,41,13,15.75
102,Cidreira,BR,2022-02-06 07:23:06,-30.1811,-50.2056,71.67,92,8,8.16
103,Saint-Pierre,RE,2022-02-06 07:23:07,-21.3393,55.4781,85.68,66,0,10.36
104,Vila Velha,BR,2022-02-06 07:23:07,-20.3297,-40.2925,74.95,88,0,5.75
105,Tuatapere,NZ,2022-02-06 07:19:01,-46.1333,167.6833,53.82,61,1,5.48
106,Cantapoy,PH,2022-02-06 07:23:08,9.4906,125.4364,81.68,76,14,15.23
107,Tooele,US,2022-02-06 07:23:08,40.5308,-112.2983,31.08,93,0,3.44
108,Chifeng,CN,2022-02-06 07:23:09,42.2683,118.9636,26.08,39,5,16.4
109,Buala,SB,2022-02-06 07:23:09,-8.145,159.5921,83.07,80,23,8.61
110,Marawi,PH,2022-02-06 07:23:09,7.9986,124.2928,73.65,75,79,8.19
111,Moose Factory,CA,2022-02-06 07:23:10,51.2585,-80.6094,-13.0,70,100,5.75
112,Conde,BR,2022-02-06 07:23:10,-7.2597,-34.9075,72.86,94,75,3.44
113,Bratsk,RU,2022-02-06 07:23:11,56.1325,101.6142,19.89,87,100,9.66
114,Simao,CN,2022-02-06 07:23:11,22.7886,100.9748,61.56,82,49,7.92
115,Formosa,AR,2022-02-06 07:21:06,-26.1775,-58.1781,67.98,73,0,8.05
116,Tessalit,ML,2022-02-06 07:23:12,20.1986,1.0114,57.34,18,9,9.71
117,Bubaque,GW,2022-02-06 07:23:12,11.2833,-15.8333,77.52,61,3,7.47
118,Jamestown,US,2022-02-06 07:23:12,42.097,-79.2353,13.71,87,40,6.91
119,Bud,US,2022-02-06 07:23:13,39.447,-86.1758,15.91,94,11,6.89
120,Longyearbyen,SJ,2022-02-06 07:21:15,78.2186,15.6401,15.64,67,40,12.66
121,Isangel,VU,2022-02-06 07:23:13,-19.55,169.2667,80.29,89,100,14.47
122,Inhambane,MZ,2022-02-06 07:23:06,-23.865,35.3833,79.5,78,63,18.01
123,Linxia,CN,2022-02-06 07:23:14,35.6003,103.2064,20.86,68,96,4.45
124,Monticello,US,2022-02-06 07:23:14,45.3055,-93.7941,21.42,92,75,0.0
125,Jackson,US,2022-02-06 07:23:15,42.4165,-122.8345,41.99,77,0,4.61
126,Altay,CN,2022-02-06 07:23:15,47.8667,88.1167,20.73,70,0,1.54
127,Eresos,GR,2022-02-06 07:23:16,39.1667,25.9333,45.91,69,95,5.95
128,Castro,BR,2022-02-06 07:23:16,-24.7911,-50.0119,61.7,98,88,4.5
129,Yenagoa,NG,2022-02-06 07:23:17,4.9247,6.2642,77.47,82,6,0.22
130,Ancud,CL,2022-02-06 07:23:17,-41.8697,-73.8203,54.93,91,54,3.69
131,Grand Island,US,2022-02-06 07:22:30,40.925,-98.342,33.3,57,20,4.61
132,Maniitsoq,GL,2022-02-06 07:23:18,65.4167,-52.9,1.56,92,100,8.14
133,Hovd,MN,2022-02-06 07:23:18,48.0056,91.6419,-3.96,84,11,3.98
134,Sioux Lookout,CA,2022-02-06 07:23:19,50.1001,-91.917,5.38,85,100,2.3
135,Port Hawkesbury,CA,2022-02-06 07:24:19,45.6169,-61.3485,17.19,88,100,19.57
136,Binzhou,CN,2022-02-06 07:24:19,37.3667,118.0167,39.42,22,100,5.01
137,Bongandanga,CD,2022-02-06 07:24:20,1.5,21.05,79.88,38,100,1.01
138,Barrow,US,2022-02-06 07:24:20,71.2906,-156.7887,-18.38,69,100,8.05
139,Makakilo City,US,2022-02-06 07:24:21,21.3469,-158.0858,73.72,70,0,4.61
140,Arraial Do Cabo,BR,2022-02-06 07:24:21,-22.9661,-42.0278,75.13,90,73,23.2
141,Kurchum,KZ,2022-02-06 07:24:21,48.5722,83.6542,29.82,45,0,22.77
142,Batemans Bay,AU,2022-02-06 07:24:22,-35.7167,150.1833,69.19,70,29,11.45
143,Upernavik,GL,2022-02-06 07:18:57,72.7868,-56.1549,-2.36,97,100,4.76
144,Severo-Kurilsk,RU,2022-02-06 07:24:22,50.6789,156.125,27.93,78,100,20.27
145,Moron,AR,2022-02-06 07:24:23,-34.6534,-58.6198,58.75,86,17,8.61
146,Airai,TL,2022-02-06 07:20:15,-8.9266,125.4092,71.64,74,72,3.18
147,Commerce,US,2022-02-06 07:24:24,34.0006,-118.1598,64.53,52,0,0.0
148,Vaasa,FI,2022-02-06 07:24:24,63.096,21.6158,27.28,93,75,12.66
149,Amapa,BR,2022-02-06 07:24:24,1.0,-52.0,70.43,100,100,1.25
150,Vostok,RU,2022-02-06 07:24:25,46.4856,135.8833,1.49,90,100,6.04
151,Haines Junction,CA,2022-02-06 07:24:25,60.7522,-137.5108,24.75,100,100,1.14
152,Nemuro,JP,2022-02-06 07:24:26,43.3236,145.575,25.23,65,84,24.02
153,Barcelos,PT,2022-02-06 07:24:26,41.5388,-8.6151,46.92,76,37,4.92
154,Alofi,NU,2022-02-06 07:24:26,-19.0595,-169.9187,73.29,94,100,1.14
155,Christchurch,NZ,2022-02-06 07:20:32,-43.5333,172.6333,59.92,70,100,1.99
